"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/19/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/20/2022","AQS","350010023","1","0.1","ppm","1","DEL NORTE HIGH SCHOOL","7","29.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/21/2022","AQS","350010023","1","0.1","ppm","1","DEL NORTE HIGH SCHOOL","3","13.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/22/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/23/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/24/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/25/2022","AQS","350010023","1","0.1","ppm","1","DEL NORTE HIGH SCHOOL","18","75.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/26/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/27/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/28/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/29/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"04/30/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"05/01/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"05/02/2022","AQS","350010023","1","0.1","ppm","1","DEL NORTE HIGH SCHOOL","18","75.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
